lookup_url_num,url,source_url,source_offset,source_length,html_node,html_tag,html_left_sibling,html_right_sibling,html_parent
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element script at 0x19a5dff96d0>,script,script,script,head
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element script at 0x19a5dff9720>,script,script,script,head
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element script at 0x19a5dff9770>,script,script,script,head
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element script at 0x19a5dff97c0>,script,script,script,head
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element script at 0x19a5dff9810>,script,script,meta,head
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element meta at 0x19a5dff9860>,meta,script,,head
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element body at 0x19a5dffa770>,body,head,,html
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element header at 0x19a5dffa810>,header,,div,body
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element div at 0x19a5dffa8b0>,div,,,header
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element div at 0x19a5dffa950>,div,,,div
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element div at 0x19a5dffa9f0>,div,,div,div
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element a at 0x19a5dffaa90>,a,,,div
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element img at 0x19a5dffab30>,img,,,a
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element div at 0x19a5dffabd0>,div,div,div,div
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element div at 0x19a5dffac70>,div,div,,div
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element div at 0x19a5dffad10>,div,,,div
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element div at 0x19a5dffadb0>,div,,,div
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element div at 0x19a5dffae50>,div,,div,div
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element a at 0x19a5dffaef0>,a,,,div
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element img at 0x19a5dffaf90>,img,,,a
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element div at 0x19a5dffd090>,div,div,,div
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element a at 0x19a5dffd130>,a,,,div
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element div at 0x19a5dffd1d0>,div,,span,a
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element span at 0x19a5dffd270>,span,,,div
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element em at 0x19a5dffd310>,em,,,span
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element span at 0x19a5dffd3b0>,span,div,span,a
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element span at 0x19a5dffd450>,span,span,div,a
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element div at 0x19a5dffd540>,div,span,,a
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element div at 0x19a5dffd590>,div,header,nav,body
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element div at 0x19a5dffd630>,div,,,div
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element div at 0x19a5dffd6d0>,div,,div,div
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element div at 0x19a5dffd770>,div,div,,div
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element a at 0x19a5dffd810>,a,,div,div
1,https://www.cbs19news.com/content/sports/Morsell-making-favorable-first-impression-at-UVA-543019671.html?ref=671,https://commoncrawl.s3.amazonaws.com/crawl-data/CC-NEWS/2019/08/CC-NEWS-20190814230023-00886.warc.gz,478845985,18641,<Element img at 0x19a5dffd8b0>,img,,,a
